0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:25 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=3 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:18:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:16 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:22 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:37 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:23:43 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:28:06 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:23 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:36 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
